order_id,date,client_id,employee_id,store_id,money_code,item_id,total
05ddbe97,08/07/2017 22:17,8a4394ae89564fbc875a05bb4ba0779a,3543741773,2,JPY,9,45186.75
178b52ad,06/26/2017 06:08:23 PM,2f81e3a548944b36b0529d862806382c,6408800410,3,MXN,2,19190.79
a9c6578c,09/18/2017 10:59:42 PM,234f7e83d5a64ebf95db80ff0745e063,2870261563,2,JPY,10,62174.25
2790f5bb,01/03/2017 21:09,614f82fd5c8e44dca3acee8cba62f3aa,9840949252,1,EUR,1,1078.17
37b932be,01/23/2017 04:37:46 PM,7283ba911080468789b9d508b1a421b6,8856290769,3,MXN,5,57610.79
f812206d,06/11/2017 15:17,cda9515b75044d07876bbd11c53a8685,9559658284,1,EUR,17,165.17
45d2ab8d,11/24/2017 04:36:45 PM,414b6def98f643c98790dc4d40e1afff,38143255,1,EUR,4,912.17
57142db9,10/02/2017 07:07,3c89a357716444d28ea840b978836f8a,3541598722,2,JPY,5,339636.75
e419231d,05/05/2017 06:42,adc2769cc79a46569e122383f7b238bf,2452931998,1,EUR,11,580.17
1cead64d,09/03/2017 13:03,a804a97b32c749acb2adfd8427a8356e,5610774573,2,JPY,12,113136.75
6c2c1c99,02/05/2017 18:29,3698bea4dc4b482e944fd17872963bcf,7377458078,3,MXN,10,10546.29
32d84a2d,10/15/2017 04:37:04 AM,636671011a83481dafdd66f8ab8852d2,2147227320,3,MXN,1,24953.79
6adbe684,08/30/2017 09:53:06 PM,06d1b4f9bceb4740bce8627cd3b1a997,1818201718,1,EUR,10,455.67
ef99a9d6,09/22/2017 11:54:00 PM,f2c3468e3ba643ae8cc4fa75b25db6d8,5999431748,2,JPY,13,37259.25
cb563d91,03/22/2017 08:45:20 AM,7383ab6b30bd4de59a01abe9df6adf99,6369343360,1,EUR,18,8.2917
a6853e45,06/29/2017 02:13:49 PM,2ade5f7d0a2244f689a65a38cfb2099e,2468917709,1,EUR,8,538.67
ba163c6a,03/18/2017 11:54:13 PM,0489231ce72d4d6ca6ff2ea389304ebc,8483239774,3,MXN,5,57610.79
998afddc,11/25/2017 06:01:01 PM,826db9935a1d4de587e45c93eaa19a4e,3926849790,1,EUR,16,165.17
7c1636e5,05/24/2017 09:18:55 AM,3cc467fadd2d45c98041eab22aa04c93,4157476265,2,JPY,10,62174.25
5529791a,11/16/2017 04:37:08 AM,19068bd2a24f4f0abb2b6cc1acb3ff79,8278132388,1,EUR,6,414.17
ef3b06a2,02/19/2017 05:04:50 PM,a5078bf1ebfc4fe8b9d4f9d204ce7dbe,3598381176,2,JPY,2,113136.75
3a4a69e1,03/03/2017 10:10,4fc5c6db8b734a38bd588dad30d96c72,9322174265,3,MXN,15,3438.59
49bc6c88,05/03/2017 03:13,b817ec6f139e479ab88e77fdc1b99528,1337951362,3,MXN,9,7664.79
4011df18,04/11/2017 19:43,def8d5c4476d40fd88c4ff6fe76aa501,1966991552,1,EUR,1,1078.17
5efcc522,01/26/2017 05:51:14 AM,78a38e441a6b4329879649a5da5566da,9607501586,2,JPY,17,22536.75
623496c8,05/21/2017 05:28:55 PM,bd9cbad76d3648e7972ddd3bf67ddfdb,2212467714,3,MXN,9,7664.79
50f05fe5,02/18/2017 02:34:57 PM,16223ed0dc4544d18364b104a1e9dd41,7296387961,3,MXN,18,191.9079
